iter	Passed	Remaining
751	2972	980
752	2976	976
753	2981	972
754	2985	968
755	2988	964
756	2992	960
757	2996	956
758	3000	952
759	3004	948
760	3008	944
761	3011	940
762	3015	936
763	3020	932
764	3024	928
765	3027	924
766	3031	920
767	3035	916
768	3039	913
769	3043	908
770	3047	905
771	3050	901
772	3054	897
773	3058	893
774	3062	889
775	3065	885
776	3069	881
777	3073	877
778	3077	872
779	3081	869
780	3084	865
781	3088	860
782	3092	856
783	3096	853
784	3100	849
785	3103	845
786	3107	841
787	3111	837
788	3115	833
789	3118	829
790	3122	825
791	3126	821
792	3130	817
793	3134	813
794	3138	809
795	3141	805
796	3145	801
797	3149	797
798	3153	793
799	3158	789
800	3162	785
801	3167	781
802	3171	777
803	3175	774
804	3180	770
805	3183	766
806	3187	762
807	3191	758
808	3195	754
809	3199	750
810	3202	746
811	3206	742
812	3210	738
813	3214	734
814	3218	730
815	3222	726
816	3226	722
817	3230	718
818	3234	714
819	3239	711
820	3243	707
821	3247	703
822	3251	699
823	3255	695
824	3259	691
825	3263	687
826	3267	683
827	3271	679
828	3275	675
829	3279	671
830	3283	667
831	3286	663
832	3290	659
833	3294	655
834	3298	651
835	3301	647
836	3305	643
837	3309	639
838	3313	635
839	3317	631
840	3320	627
841	3324	623
842	3328	619
843	3332	615
844	3336	611
845	3339	607
846	3343	604
847	3347	600
848	3352	596
849	3356	592
850	3361	588
851	3365	584
852	3369	580
853	3374	576
854	3378	573
855	3382	569
856	3386	565
857	3390	561
858	3394	557
859	3398	553
860	3402	549
861	3406	545
862	3410	541
863	3413	537
864	3417	533
865	3421	529
866	3425	525
867	3428	521
868	3432	517
869	3436	513
870	3440	509
871	3444	505
872	3447	501
873	3451	497
874	3455	493
875	3459	489
876	3463	485
877	3467	481
878	3470	477
879	3474	473
880	3478	469
881	3482	465
882	3486	461
883	3489	457
884	3493	453
885	3497	449
886	3501	446
887	3505	442
888	3508	438
889	3512	434
890	3516	430
891	3520	426
892	3524	422
893	3527	418
894	3531	414
895	3535	410
896	3539	406
897	3542	402
898	3546	398
899	3551	394
900	3556	390
901	3560	386
902	3564	382
903	3569	379
904	3573	375
905	3577	371
906	3581	367
907	3585	363
908	3589	359
909	3593	355
910	3597	351
911	3600	347
912	3604	343
913	3608	339
914	3612	335
915	3616	331
916	3619	327
917	3623	323
918	3627	319
919	3631	315
920	3635	311
921	3638	307
922	3642	303
923	3646	299
924	3650	295
925	3654	292
926	3657	288
927	3661	284
928	3665	280
929	3669	276
930	3673	272
931	3677	268
932	3681	264
933	3685	260
934	3689	256
935	3692	252
936	3696	248
937	3700	244
938	3704	240
939	3707	236
940	3711	232
941	3715	228
942	3719	224
